trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
47,False,"{'a': 0.925, 'e': 0.025624856306860073}",25,3,-23.591731382968078,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.925, 'e': 0.02370299208384557}",30,16,25.30316731100714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.925, 'e': 0.02192526767755715}",25,13,20.924696657291726,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.925, 'e': 0.020280872601740364}",25,6,-6.2313658202505,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.925, 'e': 0.01875980715660984}",25,12,18.046365227125136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.925, 'e': 0.017352821619864102}",20,12,13.238506228613327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.925, 'e': 0.016051359998374294}",25,15,22.042092776134954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.925, 'e': 0.014847507998496223}",30,12,24.517270115358315,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.925, 'e': 0.013733944898609006}",30,0,4.630045573948486,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.925, 'e': 0.012703899031213332}",20,10,18.561612909812382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.925, 'e': 0.011751106603872333}",20,14,13.982639783851644,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.925, 'e': 0.010869773608581908}",20,11,16.170124909729097,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.925, 'e': 0.010054540587938265}",25,8,28.301777510439486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.925, 'e': 0.009300450043842895}",30,17,25.134991696388692,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.925, 'e': 0.008602916290554678}",25,11,23.51102813800697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.925, 'e': 0.007957697568763078}",35,28,13.151623505678222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.925, 'e': 0.007360870251105847}",20,0,27.47080772141555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.925, 'e': 0.006808804982272909}",25,14,19.260492596470748,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.925, 'e': 0.0062981446086024405}",20,0,28.622822026988388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.925, 'e': 0.0058257837629572574}",30,16,29.341197414088796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.925, 'e': 0.005388849980735464}",25,17,15.401332635164028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.925, 'e': 0.004984686232180304}",20,0,30.25241101817496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.925, 'e': 0.0046108347647667814}",30,7,38.19002921000622,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.925, 'e': 0.004265022157409273}",20,12,12.953198125867726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.925, 'e': 0.003945145495603578}",20,0,24.165749646267518,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.925, 'e': 0.0036492595834333097}",25,15,20.7502931042776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.925, 'e': 0.0033755651146758115}",25,14,-17.137370789397064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.925, 'e': 0.0031223977310751256}",20,3,33.772979210365904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
